date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-08-11,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-12,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-13,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-14,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-17,sh.603939,89.89,89.89,89.89,89.89,70200.0,6310278.0,3,0.1755,1,-10.002,96.152449,10.599566,6.059897,31.157045,0.0
2015-08-18,sh.603939,80.9,80.9,80.9,80.9,312200.0,25256980.0,3,0.7805,1,-10.0011,86.53613399999999,9.539492,5.4538400000000005,28.040993,0.0
2015-08-19,sh.603939,72.81,72.81,72.81,72.81,366100.0,26655741.0,3,0.91525,1,-10.0,77.882521,8.585543,4.908456,25.236894,0.0
2015-08-20,sh.603939,68.0,71.8,65.53,66.84,8378229.0,569400400.0,3,20.945573,1,-8.1994,71.49660300000001,7.881578,4.505991000000001,23.167614,0.0
2015-08-21,sh.603939,68.0,69.7,63.5,65.43,4871314.0,324361696.0,3,12.178285,1,-2.1095,65.03120899999999,7.45834,4.201462,101.920282,0.0
2015-08-24,sh.603939,60.6,62.0,58.89,58.89,1486010.0,88150932.0,3,3.715025,1,-9.9954,58.53106999999999,6.712847999999999,3.781509,91.732927,0.0
2015-08-25,sh.603939,53.0,55.96,53.0,53.0,3129109.0,167489640.0,3,7.822773,1,-10.0017,52.67696899999999,6.041449,3.4032940000000003,82.558076,0.0
2015-08-26,sh.603939,53.16,55.99,48.01,48.92,4818455.0,250865506.0,3,12.046138,1,-7.6981,48.621837,5.576371,3.141304,76.202662,0.0
2015-08-27,sh.603939,50.38,53.81,48.91,53.79,4086908.0,209922351.0,3,10.21727,1,9.955,53.462154000000005,6.131501,3.454022,83.788659,0.0
2015-08-28,sh.603939,55.6,57.98,53.71,56.94,4901260.0,271267200.0,3,12.25315,1,5.8561,56.592955,6.490568,3.656293,88.695412,0.0
2015-08-31,sh.603939,55.1,56.1,51.3,52.4,2707693.0,147340636.0,3,6.769232000000001,1,-7.9733,52.080626,5.973055,3.3647660000000004,81.623456,0.0
2015-09-01,sh.603939,51.0,51.0,47.16,47.16,2988703.0,145264849.0,3,7.471757000000001,1,-10.0,46.872564,5.37575,3.028289,73.461111,0.0
2015-09-02,sh.603939,43.94,49.9,43.13,47.35,2861998.0,134134405.0,3,7.154995,1,0.4029,47.061406,5.397408,3.04049,73.757074,0.0
2015-09-07,sh.603939,48.3,52.0,48.3,49.94,1845996.0,92576042.0,3,4.61499,1,5.4699,49.63562,5.692641,3.206801,77.791516,0.0
2015-09-08,sh.603939,49.88,53.85,49.01,53.05,1632723.0,83725804.0,3,4.0818080000000005,1,6.2275,52.726664,6.047148,3.406504,82.635961,0.0
2015-09-09,sh.603939,53.51,56.7,53.15,56.65,2678642.0,146535405.0,3,6.696605,1,6.7861,56.304723,6.457511,3.637671,88.24368,0.0
2015-09-10,sh.603939,54.99,56.0,54.0,54.07,1500544.0,82514648.0,3,3.75136,1,-4.5543,53.740448,6.163418,3.472002,84.224815,0.0
2015-09-11,sh.603939,53.5,54.8,51.71,54.45,1987605.0,106338880.0,3,4.969012,1,0.7028,54.118132,6.206734,3.496402,84.81674100000001,0.0
2015-09-14,sh.603939,53.8,55.3,49.58,50.72,2483507.0,131061856.0,3,6.208768,1,-6.8503,50.410866,5.781553,3.256888,79.00652099999999,0.0
2015-09-15,sh.603939,49.05,50.66,47.3,47.41,874222.0,42600877.0,3,2.185555,1,-6.526,47.12104,5.404247,3.044342,73.850536,0.0
